tv,hl,wa,seed,epochs,model_type,theta_index
0.2066666936874389,0.4642019379455811,0.1834038437137385,1,0,NormalizingFlow,0
0.2301348214149475,0.3812351316508183,0.1233197265207669,1,0,NormalizingFlow,1
0.5205454382896424,0.5757578479001453,0.2072306163041266,1,0,NormalizingFlow,2
0.5248297796249389,0.5562299231127877,0.2325347072056074,1,0,NormalizingFlow,3
0.165111119389534,0.4568928596637577,0.1764320103671183,1,0,NormalizingFlow,4
0.7660000077486038,0.6272856250371976,0.3531398292148302,1,40,NormalizingFlow,0
0.3359999964237213,0.4306477590856547,0.1505976115504889,1,40,NormalizingFlow,1
0.4210000119209289,0.4067372903522296,0.2051965940118695,1,40,NormalizingFlow,2
0.4870000119209289,0.4678687741366421,0.2520844401822679,1,40,NormalizingFlow,3
0.2519999952316284,0.3938631562585932,0.1375651667230306,1,40,NormalizingFlow,4
0.3139999952316284,0.4365395356665772,0.1473546823216891,1,80,NormalizingFlow,0
0.4300000202655792,0.456970681259158,0.1784780903072109,1,80,NormalizingFlow,1
0.3177373948097229,0.4752366671970181,0.1615138394560844,1,80,NormalizingFlow,2
0.4310000202655792,0.4324954650898385,0.1856224690300643,1,80,NormalizingFlow,3
0.424,0.4748122974226931,0.1895576824176221,1,80,NormalizingFlow,4
0.4580000023841858,0.436713929353331,0.2261967751682841,1,120,NormalizingFlow,0
0.6049999964237213,0.5419437603147964,0.289191094486124,1,120,NormalizingFlow,1
0.7580000023841857,0.6365351351710843,0.3954268458982651,1,120,NormalizingFlow,2
0.3850000286102295,0.474234833723844,0.1738398051596353,1,120,NormalizingFlow,3
0.3120000357627869,0.3885261758688915,0.1348639704884267,1,120,NormalizingFlow,4
0.5590000166893005,0.4802944317162271,0.2721461042861003,1,160,NormalizingFlow,0
0.2349999928474426,0.3741530874355369,0.1257970719726449,1,160,NormalizingFlow,1
0.679,0.5667121872867712,0.3152838068002149,1,160,NormalizingFlow,2
0.4300000095367431,0.5106490708862866,0.1882569354272505,1,160,NormalizingFlow,3
0.3540000357627868,0.4969113136247239,0.1624370464891531,1,160,NormalizingFlow,4
0.2639999856948852,0.3808353482887068,0.1308311633664931,1,200,NormalizingFlow,0
0.6480000083446502,0.5554567119890866,0.3107168598536093,1,200,NormalizingFlow,1
0.2649999940395355,0.3877794405841756,0.1305998186339289,1,200,NormalizingFlow,2
0.3479999976158142,0.4020057413859614,0.1599873709039071,1,200,NormalizingFlow,3
0.559999966621399,0.4916094652585424,0.2995050156073744,1,200,NormalizingFlow,4
0.4689999618530273,0.4437504727703569,0.2192638500404651,1,240,NormalizingFlow,0
0.196030252456665,0.2664228380309161,0.0909587153349024,1,240,NormalizingFlow,1
0.3189999868869781,0.3629186705784278,0.1414205028636971,1,240,NormalizingFlow,2
0.6410816247463227,0.5520047034278249,0.2987089305046254,1,240,NormalizingFlow,3
0.4099999904632568,0.4471077977291096,0.1905703025039253,1,240,NormalizingFlow,4
0.2739999845027924,0.3613492657430706,0.1293383820307026,1,280,NormalizingFlow,0
0.666,0.5570479249050834,0.3152594621597642,1,280,NormalizingFlow,1
0.2219999833106994,0.3550496670652963,0.1201110254992287,1,280,NormalizingFlow,2
0.5790000059604645,0.5083732470224759,0.2739096347106494,1,280,NormalizingFlow,3
0.3179999868869781,0.4271110247568966,0.1517105615080601,1,280,NormalizingFlow,4
0.3909999988079071,0.4341773268940573,0.1722391415968003,1,320,NormalizingFlow,0
0.5299999737739562,0.5054848700891119,0.2474061867367777,1,320,NormalizingFlow,1
0.366999988079071,0.4159677628176646,0.1654751068303454,1,320,NormalizingFlow,2
0.5570000047683716,0.4898034598672001,0.2968569963461887,1,320,NormalizingFlow,3
0.324999988079071,0.374669303343941,0.1499251806679762,1,320,NormalizingFlow,4
0.5470000154972077,0.484761395058756,0.2668728546842125,1,360,NormalizingFlow,0
0.4209999809265137,0.4204325061708228,0.19368746556867,1,360,NormalizingFlow,1
0.6410000095367432,0.5392952259407701,0.3015907620517204,1,360,NormalizingFlow,2
0.2060000023841858,0.3152168332829739,0.1085259685034131,1,360,NormalizingFlow,3
0.6550000095367432,0.5508827752418085,0.361136273768691,1,360,NormalizingFlow,4
0.2379999928474426,0.3812014901067432,0.1270891194443141,1,400,NormalizingFlow,0
0.2550000119209289,0.4101010257638258,0.1363502498391814,1,400,NormalizingFlow,1
0.4969999737739563,0.495348932236705,0.2328044716509641,1,400,NormalizingFlow,2
0.5710000059604645,0.501655413232552,0.2661482011783418,1,400,NormalizingFlow,3
0.1680000035762787,0.2437106497165405,0.0877851206214845,1,400,NormalizingFlow,4
0.2519999952316284,0.3339066427133241,0.115455852893859,1,440,NormalizingFlow,0
0.6289999785423279,0.5264393892020595,0.3642136092163893,1,440,NormalizingFlow,1
0.5780000190734863,0.4805731589840366,0.2734840555518724,1,440,NormalizingFlow,2
0.5049999928474427,0.4755996646203616,0.2324964590431585,1,440,NormalizingFlow,3
