seed,epoch,learning_rate,grad_norm,loss,theta_hat_mse,g_mean,g_std,g_min,g_max,f_drift_mean,f_drift_std,f_drift_min,f_drift_max,r_drift_mean,r_drift_std,r_drift_min,r_drift_max,drift_diff_norm_mean,drift_diff_norm_std,drift_diff_norm_min,drift_diff_norm_max,score_norm_mean,sigma_mean,sigma_max,sigma_min
1,0,0.001,0.0,56003544.0,0.128,0.0,0.0,0.0,0.0,0.115,1.02,-2.303,3.725,0.087,0.732,-2.239,3.082,0.925,0.517,0.059,2.488,15.188,0.0,0.0,0.0
1,2500,0.001,0.0,45117436.0,0.11,0.0,0.0,0.0,0.0,-0.019,0.955,-2.537,3.155,-0.008,0.697,-1.972,3.204,0.83,0.463,0.025,2.5,5.94,0.0,0.0,0.0
1,5000,0.001,0.0,58512740.0,0.152,0.0,0.0,0.0,0.0,0.092,0.989,-3.524,2.711,0.064,0.63,-1.818,2.195,0.952,0.517,0.108,3.343,4.377,0.0,0.0,0.0
1,7500,0.001,0.0,63412560.0,0.127,0.0,0.0,0.0,0.0,0.061,1.062,-2.473,2.832,0.009,0.655,-2.446,2.346,0.95,0.608,0.058,3.059,8.761,0.0,0.0,0.0
1,10000,0.001,0.0,55302996.0,0.128,0.0,0.0,0.0,0.0,-0.094,0.995,-2.979,4.355,-0.004,0.715,-2.778,5.124,0.906,0.536,0.004,2.781,36.322,0.0,0.0,0.0
1,12500,0.001,0.0,60248416.0,0.127,0.0,0.0,0.0,0.0,0.038,0.994,-2.975,2.789,-0.004,0.618,-2.15,2.246,0.945,0.56,0.186,3.143,26.387,0.0,0.0,0.0
1,15000,0.001,0.0,59150144.0,0.142,0.0,0.0,0.0,0.0,-0.028,1.006,-2.951,2.946,-0.013,0.632,-2.05,2.188,0.943,0.544,0.108,2.961,6.804,0.0,0.0,0.0
1,17500,0.001,0.0,58437388.0,0.117,0.0,0.0,0.0,0.0,0.039,0.983,-2.299,2.812,-0.003,0.609,-1.727,1.799,0.933,0.548,0.066,3.142,8.78,0.0,0.0,0.0
1,20000,0.001,0.0,57860352.0,0.12,0.0,0.0,0.0,0.0,0.072,1.047,-2.946,3.209,0.032,0.707,-2.021,3.46,0.914,0.57,0.071,3.223,14.33,0.0,0.0,0.0
1,22500,0.001,0.0,53113248.0,0.133,0.0,0.0,0.0,0.0,-0.082,0.919,-2.433,2.216,-0.022,0.548,-2.021,2.081,0.907,0.492,0.092,2.522,7.248,0.0,0.0,0.0
1,25000,0.001,0.0,62220428.0,0.134,0.0,0.0,0.0,0.0,0.173,0.951,-2.137,2.847,0.059,0.563,-1.549,2.101,0.98,0.534,0.057,2.754,9.389,0.0,0.0,0.0
1,25000,0.001,0.0,51472088.0,0.124,0.0,0.0,0.0,0.0,0.115,1.02,-2.303,3.725,0.055,0.705,-2.159,3.672,0.867,0.529,0.047,2.442,15.188,0.0,0.0,0.0
1,27500,0.001,0.0,49502180.0,0.115,0.0,0.0,0.0,0.0,0.025,1.039,-2.405,3.331,0.013,0.717,-1.979,2.235,0.856,0.51,0.094,2.759,5.008,0.0,0.0,0.0
1,30000,0.001,0.0,51468896.0,0.122,0.0,0.0,0.0,0.0,-0.035,1.019,-2.764,2.172,0.0,0.653,-2.245,2.034,0.864,0.534,0.036,2.958,10.799,0.0,0.0,0.0
1,32500,0.001,0.0,60349940.0,0.138,0.0,0.0,0.0,0.0,0.031,1.052,-2.743,3.014,0.02,0.662,-2.066,3.167,0.966,0.526,0.074,2.93,4.872,0.0,0.0,0.0
1,35000,0.001,0.0,61317992.0,0.147,0.0,0.0,0.0,0.0,-0.152,1.044,-2.783,3.016,-0.01,0.671,-2.312,2.142,0.954,0.564,0.081,3.529,5.586,0.0,0.0,0.0
1,37500,0.001,0.0,47874388.0,0.115,0.0,0.0,0.0,0.0,0.052,0.963,-2.955,2.405,0.034,0.68,-2.489,2.207,0.859,0.47,0.051,2.228,7.509,0.0,0.0,0.0
1,40000,0.001,0.0,50259736.0,0.127,0.0,0.0,0.0,0.0,-0.075,1.054,-3.0,3.216,-0.028,0.729,-3.083,2.519,0.864,0.51,0.047,2.966,34.493,0.0,0.0,0.0
1,42500,0.001,0.0,48424968.0,0.13,0.0,0.0,0.0,0.0,0.007,1.028,-2.659,2.919,-0.026,0.712,-2.144,2.346,0.85,0.497,0.116,2.973,8.284,0.0,0.0,0.0
1,45000,0.001,0.0,52848520.0,0.124,0.0,0.0,0.0,0.0,-0.013,1.067,-3.538,2.43,0.001,0.741,-2.353,2.46,0.856,0.571,0.037,2.756,6.986,0.0,0.0,0.0
1,47500,0.001,0.0,54981960.0,0.135,0.0,0.0,0.0,0.0,0.025,1.011,-2.514,3.058,0.022,0.645,-1.861,2.214,0.904,0.534,0.116,2.821,13.507,0.0,0.0,0.0
1,50000,0.001,0.0,56437832.0,0.125,0.0,0.0,0.0,0.0,-0.008,1.01,-2.671,2.746,0.012,0.625,-2.494,1.774,0.937,0.503,0.063,2.281,5.553,0.0,0.0,0.0
